I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,30010038,A,,300,10,038,MASERATI,LEVANTE S GRANLUSSO TODO TERRENO,,,,,,165840000,150760000,135690000,122120000,,,,,,,,,,,,,,,,,
I,30010042,A,,300,10,042,MASERATI,LEVANTE TROFEO TODO TERRENO,,,,,,331680000,301520000,271370000,,,,,,,,,,,,,,,,,,
I,30002008,A,,300,02,008,MASERATI,QUATROPORTE V8 EVOLUZIOSNEDEAN 4 PUERTAS,,,,,,,,,,,,,,,,,,167190000,158880000,147770000,137430000,,,,,
I,30002016,A,,300,02,016,MASERATI,QUATTROPORTE SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,167190000,158880000,147770000,137430000,,,,,
I,30002032,A,,300,02,032,MASERATI,QUATTROPORTE GTS SEDAN 4 PUERTAS,,,,,,343790000,,,,,,,,,,,,,,,,,,,,
I,30002036,A,,300,02,036,MASERATI,QUATTROPORTE S GRANLUSSEODAN 4 PUERTAS,,,,,,299570000,278600000,259100000,240960000,,,,,,,,,,,,,,,,,
I,30002033,A,,300,02,033,MASERATI,QUATTROPORTE S Q4 SEDAN 4 PUERTAS,,,,,,284860000,,,,,,,,,,,,,,,,,,,,
I,30002017,A,,300,02,017,MASERATI,QUATTROPORTE SPORT GT SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,167190000,158880000,147770000,137430000,,,,,
I,30026020,A,,300,26,020,MASERATI,SPYDER CAMBIOCORSA DESCAPOTABLE,,,,,,,,,,,,,,,,,,154050000,147960000,137520000,127860000,118870000,,,,
I,B4507036,M,,B45,07,036,MAVERICK,BIG FORCE 250 CUATRICICLO,,,,,,,,,,,,,1101800,1028400,954900,881500,776900,706300,635700,,,,,,,
I,B4519046,M,,B45,19,046,MAVERICK,BLACK STAR MOTOCICLETA,,,,,,,,,,,,,418700,389300,352600,308500,268400,247200,233100,,,,,,,
I,B4519044,M,,B45,19,044,MAVERICK,CROSS MOTOCICLETA,,,,,,,,,,,,,396600,367300,330600,301200,268400,247200,226000,204800,,,,,,
I,B4519050,M,,B45,19,050,MAVERICK,FOX MOTOCICLETA,,,,,,,,,,,,,279200,249700,227700,205700,176600,148300,134200,127100,,,,,,
I,B4519045,M,,B45,19,045,MAVERICK,GO MOTOCICLETA,,,,,,,,,,,,,293800,264500,242400,220400,197700,183700,162400,148300,,,,,,
I,B4519048,M,,B45,19,048,MAVERICK,HALLEY MOTOCICLETA,,,,,,,,,,,,,550900,506800,477400,440800,388500,353200,324900,,,,,,,
I,B4519015,M,,B45,19,015,MAVERICK,MA 110-2 MOTOCICLETA,,,,,,,,,,,,,257100,235100,213000,191000,162400,141300,134200,127100,,,,,,
I,B4519019,M,,B45,19,019,MAVERICK,MA110-3 MOTOCICLETA,,,,,,,,,,,,,279200,249700,227700,205700,176600,148300,134200,127100,,,,,,
I,B4519016,M,,B45,19,016,MAVERICK,MA110-A MOTOCICLETA,,,,,,,,,,,,,323200,293800,271800,249700,219000,197700,176600,162400,,,,,,
I,B4519034,M,,B45,19,034,MAVERICK,MA125-12 MOTOCICLETA,,,,,,,,,,,,,315800,286500,264500,242400,211900,197700,183700,,,,,,,
I,B4519012,M,,B45,19,012,MAVERICK,MA125-2 MOTOCICLETA,,,,,,,,,,,,,315800,286500,264500,242400,211900,197700,183700,,,,,,,
I,B4519006,M,,B45,19,006,MAVERICK,MA125-5 MOTOCICLETA,,,,,,,,,,,,,315800,286500,264500,242400,211900,197700,183700,,,,,,,
I,B4519004,M,,B45,19,004,MAVERICK,MA125-7 MOTOCICLETA,,,,,,,,,,,,,315800,286500,264500,242400,211900,197700,183700,,,,,,,
I,B4519033,M,,B45,19,033,MAVERICK,MA125-7A MOTOCICLETA,,,,,,,,,,,,,315800,286500,264500,242400,211900,197700,183700,,,,,,,
I,B4519005,M,,B45,19,005,MAVERICK,MA125-GY MOTOCICLETA,,,,,,,,,,,,,396600,367300,330600,301200,268400,247200,226000,204800,,,,,,
I,B4519058,M,,B45,19,058,MAVERICK,MA125-T6 MOTOCICLETA,,,,,,,,,,,,,337900,308500,286500,264500,233100,219000,204800,,,,,,,
I,B4519025,M,,B45,19,025,MAVERICK,MA150-12 MOTOCICLETA,,,,,,,,,,,,,389300,352600,323200,293800,261400,247200,226000,204800,184600,,,,,
I,B4519020,M,,B45,19,020,MAVERICK,MA150-13 MOTOCICLETA,,,,,,,,,,,,,389300,352600,323200,293800,261400,247200,226000,204800,184600,,,,,
I,B4519026,M,,B45,19,026,MAVERICK,MA200-13 MOTOCICLETA,,,,,,,,,,,,,675800,631700,587600,558300,494400,459100,423800,395500,,,,,,
I,B4519035,M,,B45,19,035,MAVERICK,MA200-GY MOTOCICLETA,,,,,,,,,,,,,675800,631700,587600,558300,494400,459100,423800,395500,,,,,,
I,B4507024,M,,B45,07,024,MAVERICK,MA250 CUATRICICLO,,,,,,,,,,,,,1101800,1028400,954900,881500,776900,706300,635700,,,,,,,
I,B4519017,M,,B45,19,017,MAVERICK,MA70 MOTOCICLETA,,,,,,,,,,,,,293800,264500,242400,220400,197700,183700,162400,148300,,,,,,
I,B4519022,M,,B45,19,022,MAVERICK,MA70-D MOTOCICLETA,,,,,,,,,,,,,293800,264500,242400,220400,197700,183700,162400,148300,,,,,,
I,B4519041,M,,B45,19,041,MAVERICK,OMEGA MOTOCICLETA,,,,,,,,,,,,,,,,257100,233100,219000,,,,,,,,
I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca Desc. Modelo,,Desc. Tipo,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,B4519049,M,,B45,19,049,MAVERICK PANTER,,MOTOCICLETA,,,,,,,,,,,,793300,727200,661100,595000,515600,459100,,,,,,,,
I,B4507037,M,,B45,07,037,MAVERICK SCAPE 200,,CUATRICICLO,,,,,,,,,,,,822700,771300,719900,661100,579200,515600,459100,,,,,,,
I,B4507038,M,,B45,07,038,MAVERICK SPORT 110,,CUATRICICLO,,,,,,,,,,,,521600,492200,462800,426000,381400,346100,317800,,,,,,,
I,B4519047,M,,B45,19,047,MAVERICK STREET,,MOTOCICLETA,,,,,,,,,,,,389300,352600,323200,293800,261400,247200,226000,204800,184600,,,,,
I,B4519040,M,,B45,19,040,MAVERICK TOP,,MOTOCICLETA,,,,,,,,,,,,257100,235100,213000,191000,162400,141300,134200,127100,,,,,,
I,B4519043,M,,B45,19,043,MAVERICK TRY,,MOTOCICLETA,,,,,,,,,,,,257100,235100,213000,191000,162400,141300,134200,127100,,,,,,
I,B4519039,M,,B45,19,039,MAVERICK XRT,,MOTOCICLETA,,,,,,,,,,,,323200,293800,271800,249700,219000,197700,176600,162400,,,,,,
N,0555725,M,055,57,19,25,MAVERICK MOTORCAYDCVLENS TURE 250,,MOTOCICLETA,,,,,,,,,,764400,726200,688000,,,,,,,,,,,,,
N,0555723,M,055,57,07,23,MAVERICK MOTORCBYIGCL FEOSRCE 250,,CUATRICICLO,,,,,,,,,,,,1101800,1028400,954900,881500,776900,706300,635700,,,,,,,
N,0555705,M,055,57,19,05,MAVERICK MOTORCBYLCALCEKS STAR,,MOTOCICLETA,,,,,,,,,,,,418700,389300,352600,308500,268400,247200,233100,,,,,,,
N,0555713,M,055,57,19,13,MAVERICK MOTORCYITCYL E1S25,,MOTOCICLETA,,,,,,,,,,,,264500,242400,220400,198300,,,,,,,,,,
N,0555709,M,055,57,19,09,MAVERICK MOTORCYRCOLSES,,MOTOCICLETA,,,,,,,,,,,,396600,367300,330600,301200,268400,247200,226000,204800,,,,,,
N,0555711,M,055,57,19,11,MAVERICK MOTORCYRCOLSES 125,,MOTOCICLETA,,,,,,,,,,,,396600,367300,330600,301200,268400,247200,226000,204800,,,,,,
N,0555707,M,055,57,19,07,MAVERICK MOTORCDYUCALELS,,MOTOCICLETA,,,,,,,,,,,,675800,631700,587600,558300,494400,459100,423800,395500,,,,,,
N,0555715,M,055,57,19,15,MAVERICK MOTORCDYUCALEL S150,,MOTOCICLETA,,,,,,,,,,,,477400,448100,418700,389300,,,,,,,,,,
N,0555704,M,055,57,19,04,MAVERICK MOTORCFY1C 1L2E5S,,MOTOCICLETA,,,,,,,,,,,,315800,286500,264500,242400,211900,197700,183700,,,,,,,
N,0555702,M,055,57,19,02,MAVERICK MOTORCFYOCXLES,,MOTOCICLETA,,,,,,,,,,,,279200,249700,227700,205700,176600,148300,134200,127100,,,,,,
N,0555716,M,055,57,19,16,MAVERICK MOTORCGYOC L7E0S,,MOTOCICLETA,,,,,,,,,,,,293800,264500,242400,220400,197700,183700,162400,148300,,,,,,
N,0555706,M,055,57,19,06,MAVERICK MOTORCHYACLLLEESY,,MOTOCICLETA,,,,,,,,,,,,550900,506800,477400,440800,388500,353200,324900,,,,,,,
N,0555718,M,055,57,19,18,MAVERICK MOTORCMYCALXEIMS  250,,MOTOCICLETA,,,,,,,,,,,,683100,631700,,,,,,,,,,,,
N,0555719,M,055,57,19,19,MAVERICK MOTORCNYECXLUES 150,,MOTOCICLETA,,,,,,,,,,,,418700,382000,352600,,,,,,,,,,,
N,0555717,M,055,57,19,17,MAVERICK MOTORCPYACNLTEHSER 250,,MOTOCICLETA,,,,,,,,,,,,793300,727200,661100,595000,515600,459100,,,,,,,,
N,0555722,M,055,57,07,22,MAVERICK MOTORCSYCCALPEES 200,,CUATRICICLO,,,,,,,,,,,,822700,771300,719900,661100,579200,515600,459100,,,,,,,
N,0555721,M,055,57,07,21,MAVERICK MOTORCSYPCOLRETS 110,,CUATRICICLO,,,,,,,,,,,,521600,492200,462800,426000,381400,346100,317800,,,,,,,
N,0555708,M,055,57,19,08,MAVERICK MOTORCSYTCRLEEEST,,MOTOCICLETA,,,,,,,,,,,,389300,352600,323200,293800,261400,247200,226000,204800,184600,,,,,
N,0555710,M,055,57,19,10,MAVERICK MOTORCSYUCPLREAS X,,MOTOCICLETA,,,,,,,,,,,,337900,308500,286500,264500,233100,211900,197700,,,,,,,
N,0555712,M,055,57,19,12,MAVERICK MOTORCSYUCPLREAS X 125,,MOTOCICLETA,,,,,,,,,,,,337900,308500,286500,264500,233100,211900,197700,,,,,,,
N,0555701,M,055,57,19,01,MAVERICK MOTORCTYOCPLES,,MOTOCICLETA,,,,,,,,,,,,257100,235100,213000,191000,162400,141300,134200,127100,,,,,,
N,0555714,M,055,57,19,14,MAVERICK MOTORCWYCINLDES 100,,MOTOCICLETA,,,,,,,,,,,,249700,227700,205700,183700,,,,,,,,,,
N,0555703,M,055,57,19,03,MAVERICK MOTORCXYRCTLES,,MOTOCICLETA,,,,,,,,,,,,323200,293800,271800,249700,219000,197700,176600,162400,,,,,,
I,L1055007,A,,L10,55,007,MAXUSDUNESTAR 400,,UTILITARIO,19730000,16400000,15700000,15000000,14400000,13900000,13400000,12800000,12200000,11700000,11100000,10600000,10000000,9500000,9000000,8500000,8000000,7500000,7000000,6500000,6100000,5700000,5400000,5100000,
I,08902215,A,,089,02,215,MAZDA 3,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,4479800,4278200,4085700,3901800,3708000,,,
I,08905215,A,,089,05,215,MAZDA 3,,SEDAN 5 PUERTAS,,,,,,,,,,,6609000,6248200,5935800,5639000,5357100,5089200,4834700,4593000,4363400,4145200,3937900,3741000,,,
I,08922059,A,,089,22,059,MAZDA 323,,SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08902059,A,,089,02,059,MAZDA 323,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08902034,A,,089,02,034,MAZDA 323 2.0 LX DIESEL,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08934085,A,,089,34,085,MAZDA 323 BB4S,,SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08905003,A,,089,05,003,MAZDA 323 BB4S 16 VALVE GLX,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08902004,A,,089,02,004,MAZDA 323 BC9B F GLX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08905004,A,,089,05,004,MAZDA 323 BC9B F GLX,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,1956100,1871000,1786000
I,08902016,A,,089,02,016,MAZDA 323 BC9C F GLX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1546300
I,08934087,A,,089,34,087,MAZDA 323 BC9C LCK GLX,,SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08902155,A,,089,02,155,MAZDA 323 BK2N GLX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08902154,A,,089,02,154,MAZDA 323 BK2R GLX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08905149,A,,089,05,149,MAZDA 323 F,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08902044,A,,089,02,044,MAZDA 323 F GLX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08905044,A,,089,05,044,MAZDA 323 F GLX,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08902036,A,,089,02,036,MAZDA 323 GLX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08905036,A,,089,05,036,MAZDA 323 GLX,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08905206,A,,089,05,206,MAZDA 323 HS,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08922073,A,,089,22,073,MAZDA 323 LX,,SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1546300
I,08921042,A,,089,21,042,MAZDA 323 SE,,COUPE,,,,,,,,,,,,,,,,,,,,,,,,,1894200
I,08901042,A,,089,01,042,MAZDA 323 SE,,SEDAN 2 PUERTAS,,,,,,,,,,,,,,,,,,,,,,1998600,1913600,1828500,1743500
I,08902037,A,,089,02,037,MAZDA 323F BC9C LCK GLX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1623600
I,08902068,A,,089,02,068,MAZDA 323F BD6K DIESEL,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1623600
I,08902119,A,,089,02,119,MAZDA 323F BG5C LBH,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1546300
I,08902174,A,,089,02,174,MAZDA 323F BG5C LBH GLX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1546300
I,08902122,A,,089,02,122,MAZDA 323F BG5C LBJ,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1546300
I,08902133,A,,089,02,133,MAZDA 323F BG5D GLX B,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1623600
I,08902116,A,,089,02,116,MAZDA 323F BG5D LCA,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1546300
I,08902173,A,,089,02,173,MAZDA 323F BG5D LCA GLX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1623600
I,08902121,A,,089,02,121,MAZDA 323F BG5D LCR,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1546300
I,08905134,A,,089,05,134,MAZDA 323F BG5F LAP,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1894200
I,08905128,A,,089,05,128,MAZDA 323F BG5G GLX,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1623600
I,08905120,A,,089,05,120,MAZDA 323F BG5G LA4,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1894200
I,08905175,A,,089,05,175,MAZDA 323F BG5G LA4 GLX,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1894200
I,08902123,A,,089,02,123,MAZDA 323F BH4C DIESEL,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1623600
I,08902176,A,,089,02,176,MAZDA 323F BH4C GLX DIESEL,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1623600
I,08905153,A,,089,05,153,MAZDA 323F BK3D,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,2338800,2211200,2083600,1956100
I,08905152,A,,089,05,152,MAZDA 323F BK3D GLX,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,2338800,2211200,2083600,1956100
I,08905151,A,,089,05,151,MAZDA 323F BK3F GLX,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,2338800,2211200,2083600,1956100
I,08904077,A,,089,04,077,MAZDA 626,,RURAL 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08902077,A,,089,02,077,MAZDA 626,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,2203500,2126200,2048900
I,08904041,A,,089,04,041,MAZDA 626 2.0I,,RURAL 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08902055,A,,089,02,055,MAZDA 626 DX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,2203500,2126200,2048900
I,08902026,A,,089,02,026,MAZDA 626 ES,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,2203500,2126200,2048900
I,08902031,A,,089,02,031,MAZDA 626 GB2C,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,2203500,2126200,2048900
I,08905076,A,,089,05,076,MAZDA 626 GC8T HB GLX,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08902022,A,,089,02,022,MAZDA 626 GC8W GLX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08902146,A,,089,02,146,MAZDA 626 GE6L,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08902169,A,,089,02,169,MAZDA 626 GE6L GLX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,2203500,2126200,2048900
I,08902143,A,,089,02,143,MAZDA 626 GE6N,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08902172,A,,089,02,172,MAZDA 626 GE6N GLX,,SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08905145,A,,089,05,145,MAZDA 626 GE6W,,SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,08905170,A,,089,05,170,MAZDA,626 GE6W GLX SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,2466400,2338800,2211200,2041100
I,08905144,A,,089,05,144,MAZDA,626 GE7B SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08905171,A,,089,05,171,MAZDA,626 GE7B GLX SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,2466400,2338800,2211200,2041100
I,08904157,A,,089,04,157,MAZDA,626 GF3H GLX SW RURAL 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08904156,A,,089,04,156,MAZDA,626 GF3K GLX SW RURAL 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08912040,A,,089,12,040,MAZDA,626 GLX FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08904040,A,,089,04,040,MAZDA,626 GLX RURAL 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08902040,A,,089,02,040,MAZDA,626 GLX SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2203500,2126200,2048900
I,08905040,A,,089,05,040,MAZDA,626 GLX SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,2466400,2338800,2211200,2041100
I,08904002,A,,089,04,002,MAZDA,626 GLX 2.2 I GB2L RURAL 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,2087500,2010200
I,08902011,A,,089,02,011,MAZDA,626 GLX GC9A SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2203500,2126200,2048900
I,08902050,A,,089,02,050,MAZDA,626 LX SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2203500,2126200,2048900
I,08902196,A,,089,02,196,MAZDA,626 LX 2.0 D SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,2338800,2211200,2083600,1956100
I,08902008,A,,089,02,008,MAZDA,626 LX A SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2203500,2126200,2048900
I,08902007,A,,089,02,007,MAZDA,626 LXA SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2203500,2126200,2048900
I,08902047,A,,089,02,047,MAZDA,929 SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,2551400
I,08902010,A,,089,02,010,MAZDA,929 HG56 SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,2551400
I,08934125,A,,089,34,125,MAZDA,929 L RURAL SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,,,2551400
I,08934124,A,,089,34,124,MAZDA,929 LAUT SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,,,2551400
I,08911168,A,,089,11,168,MAZDA,B2500 PICK-UP,,,,,,,,,,,,,,,,,,,,,,,3061700,2764000,2508900,2296300
I,08911186,A,,089,11,186,MAZDA,B2500 4X4 (DOBLE CABINA) PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911110,A,,089,11,110,MAZDA,B2500 DX (UG84) PICK-UP,,,,,,,,,,,,,,,,,,,,,,,3061700,2764000,2508900,2296300
I,08911183,A,,089,11,183,MAZDA,B2500 DX 4X2 (CABINA DOBLPEI)CK-UP,,,,,,,,,,,,,,,,,,,,,,,3486900,3189300,2891600,2636400
I,08911180,A,,089,11,180,MAZDA,B2500 DX 4X2 (CABINA SIMPPLEIC)K-UP,,,,,,,,,,,,,,,,,,,,,,,3486900,3189300,2891600,2636400
I,08911182,A,,089,11,182,MAZDA,B2500 DX 4X4 (CABINA DOBLPEI)CK-UP,,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911185,A,,089,11,185,MAZDA,B2500 DX 4X4 (CABINA SIMPPLEIC)K-UP,,,,,,,,,,,,,,,,,,,,,,,,,2508900,2296300
I,08911107,A,,089,11,107,MAZDA,B2500 SDX (UG93) PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911193,A,,089,11,193,MAZDA,B2500 SDX 4X2 (CABINA DOBPLIEC)K-UP,,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911184,A,,089,11,184,MAZDA,B2500 SDX 4X4 (CABINA DOBPLIEC)K-UP,,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911109,A,,089,11,109,MAZDA,B2500 STD (UG91) PICK-UP,,,,,,,,,,,,,,,,,,,,,,,3061700,2764000,2508900,2296300
I,08911108,A,,089,11,108,MAZDA,B2500 STD (UG92) PICK-UP,,,,,,,,,,,,,,,,,,,,,,,3061700,2764000,2508900,2296300
I,08911167,A,,089,11,167,MAZDA,B2500 UG81 PICK-UP,,,,,,,,,,,,,,,,,,,,,,,3486900,3189300,2891600,2636400
I,08911080,A,,089,11,080,MAZDA,B2500 UG81 DX PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911112,A,,089,11,112,MAZDA,B2500 UG81 DX STD PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911079,A,,089,11,079,MAZDA,B2500 UG82 DX PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911158,A,,089,11,158,MAZDA,B2500 UG82 DX STD PICK-UP,,,,,,,,,,,,,,,,,,,,,,,3486900,3189300,2891600,2636400
I,08911113,A,,089,11,113,MAZDA,B2500 UG91 DX (CABINA DOBPILCEK)-UP,,,,,,,,,,,,,,,,,,,,,,,3486900,3189300,2891600,2636400
I,08911161,A,,089,11,161,MAZDA,B2500 UG91 DX STD (CABINAP DICOKB-ULEP),,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911043,A,,089,11,043,MAZDA,B2500 UG92 DX  (CABINA DOPBILCEK)-UP,,,,,,,,,,,,,,,,,,,,,,,3486900,3189300,2891600,2636400
I,08911160,A,,089,11,160,MAZDA,B2500 UG92 DX STD (CABINAP DICOKB-ULEP),,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911132,A,,089,11,132,MAZDA,B2500 UG93 SDX (CABINA DOPBICLKE-)UP,,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911178,A,,089,11,178,MAZDA,B2500 UK77 SDX PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911177,A,,089,11,177,MAZDA,B2500 UK77 STD PICK-UP,,,,,,,,,,,,,,,,,,,,,,,3486900,3189300,2891600,2636400
I,08911147,A,,089,11,147,MAZDA,B2500D SDX PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911138,A,,089,11,138,MAZDA,B2500DUG92 (CABINA DOBLEP)ICK-UP,,,,,,,,,,,,,,,,,,,,,,,,3401900,3104200,2849100
I,08911195,A,,089,11,195,MAZDA,B2900 CABINA DOBLE PICK-UP,,,,,,,,,,,,,,,,,,,,,,,3486900,3274300,3061700,2849100
I,08911190,A,,089,11,190,MAZDA,B2900 DX 4X2 (CABINA DOBLPEI)CK-UP,,,,,,,,,,,,,,,,,,,,,,,3486900,3274300,3061700,2849100
I,08911191,A,,089,11,191,MAZDA,B2900 DX 4X4 (CABINA DOBLPEI)CK-UP,,,,,,,,,,,,,,,,,,,,,,3589600,3359300,3146700,2934100,2721500
I,08911189,A,,089,11,189,MAZDA,B2900 DX 4X4 (CABINA SIMPPLEIC)K-UP,,,,,,,,,,,,,,,,,,,,,,3589600,3359300,3146700,2934100,2721500
I,08911192,A,,089,11,192,MAZDA,B2900 SDX 4X4 (CABINA DOBPLIEC)K-UP,,,,,,,,,,,,,,,,,,,,,,3589600,3359300,3146700,2934100,2721500
