I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,00402236,A,,004,02,236,ALFA ROMEO,159 1.9JTS SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,4630000,4500000,4370000,4220000,4080000,,,,,,
I,00404238,A,,004,04,238,ALFA ROMEO,159 2.2JTS RURAL 5 PUERTAS,,,,,,,,,,,,5210000,5060000,4920000,4770000,4630000,4500000,4370000,4220000,4080000,,,,,,
I,00402238,A,,004,02,238,ALFA ROMEO,159 2.2JTS SEDAN 4 PUERTAS,,,,,,,,,,,,5210000,5060000,4920000,4770000,4630000,4500000,4370000,4220000,4080000,,,,,,
I,00402239,A,,004,02,239,ALFA ROMEO,159 2.4JTD SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,4630000,4500000,4370000,4220000,4080000,,,,,,
I,00402252,A,,004,02,252,ALFA ROMEO,159 3.2 JTS Q4 SEDAN 4 PUERTAS,,,,,,,,,,,,5610000,5450000,5320000,5160000,5030000,4900000,4770000,4610000,4480000,,,,,,
I,00402240,A,,004,02,240,ALFA ROMEO,159 3.2JTS SEDAN 4 PUERTAS,,,,,,,,,,,,5610000,5450000,5320000,5160000,5030000,4900000,4770000,4610000,4480000,,,,,,
I,00421248,A,,004,21,248,ALFA ROMEO,159 COUPE BRERA 2.2 JTS COUPE,,,,,,,,,,,,,,,,4370000,4240000,4100000,3950000,3820000,,,,,,
I,00422248,A,,004,22,248,ALFA ROMEO,159 COUPE BRERA 2.2 JTS SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,4370000,4240000,4100000,3950000,3820000,,,,,,
I,00421241,A,,004,21,241,ALFA ROMEO,159 COUPE BRERA 3.2 JTS COUPE,,,,,,,,,,,,,,,11850000,11730000,11600000,11480000,11300000,11180000,,,,,,
I,00404327,A,,004,04,327,ALFA ROMEO,159 TI RURAL 5 PUERTAS,,,,,,,,,,,,5210000,5060000,4920000,4770000,4630000,4500000,4370000,4220000,4080000,,,,,,
I,00404273,A,,004,04,273,ALFA ROMEO,159 TI 2.2 RURAL 5 PUERTAS,,,,,,,,,,,,5210000,5060000,4920000,4770000,4630000,4500000,4370000,4220000,4080000,,,,,,
I,00402273,A,,004,02,273,ALFA ROMEO,159 TI 2.2 SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,4370000,4240000,4100000,3950000,3820000,,,,,,
I,00402225,A,,004,02,225,ALFA ROMEO,166 2.5 V6 24V SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,2470000,2380000,2290000,2210000,2130000
I,00402189,A,,004,02,189,ALFA ROMEO,166 3.0 V6 24V SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,2470000,2380000,2290000,2210000,2130000
I,00402229,A,,004,02,229,ALFA ROMEO,166 3.2 V6 24V SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,3290000,,,,,,
I,00426142,A,,004,26,142,ALFA ROMEO,2000 DESCAPOTABLE,,,,,,,,,,,,,,,,,,,,,,,,,18880000,17940000
I,00421077,A,,004,21,077,ALFA ROMEO,2000 SPIDER COUPE,,,,,,,,,,,,,,,,,,,,,,,,,18880000,17940000
I,00421063,A,,004,21,063,ALFA ROMEO,2600 COUPE,,,,,,,,,,,,,,,,,,,,,,,,,18880000,17940000
I,00422070,A,,004,22,070,ALFA ROMEO,ALFA 145 SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,1010000
I,00422185,A,,004,22,185,ALFA ROMEO,ALFA 145 TS 16V 2.0 QUADRISFEODGALNIO 3 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,1120000
I,00402205,A,,004,02,205,ALFA ROMEO,ALFA 146 TS 1.6 SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,1130000,1120000,1110000
I,00402306,A,,004,02,306,ALFA ROMEO,ALFA 156 2.0 SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,2620000,2490000,2370000,,,,
I,00421264,A,,004,21,264,ALFA ROMEO,BRERA COUPE,,,,,,,,,,,,,,,11360000,11230000,11110000,10980000,10810000,,,,,,,
I,00422264,A,,004,22,264,ALFA ROMEO,BRERA SEDAN 3 PUERTAS,,,,,,,,,,,,,,,11360000,11230000,11110000,10980000,10810000,,,,,,,
I,00402315,A,,004,02,315,ALFA ROMEO,GIULIA 200CV SEDAN 4 PUERTAS,,62620000,53230000,47910000,43120000,38800000,34920000,31430000,,,,,,,,,,,,,,,,,,
I,00402317,A,,004,02,317,ALFA ROMEO,GIULIA 280CV SEDAN 4 PUERTAS,,80210000,68180000,61360000,55230000,49700000,44730000,40260000,,,,,,,,,,,,,,,,,,
I,00402331,A,,004,02,331,ALFA ROMEO,GIULIA 280CV VELOCE SEDAN 4 PUERTAS,,80210000,68180000,61360000,55230000,49700000,44730000,40260000,,,,,,,,,,,,,,,,,,
I,00402320,A,,004,02,320,ALFA ROMEO,GIULIA QUADRIFOGLIO SEDAN 4 PUERTAS,,273500000,232470000,209230000,188300000,169470000,152530000,137270000,,,,,,,,,,,,,,,,,,
I,00402316,A,,004,02,316,ALFA ROMEO,GIULIA QUADRIFOLIO SEDAN 4 PUERTAS,,273500000,232470000,209230000,188300000,169470000,152530000,137270000,,,,,,,,,,,,,,,,,,
I,00405068,A,,004,05,068,ALFA ROMEO,GIULIETTA SEDAN 5 PUERTAS,,,,,,,,,,,,7950000,7220000,6500000,5850000,,,,,,,,,,,
I,00405284,A,,004,05,284,ALFA ROMEO,GIULIETTA 170CV DISTINCTIVSEEDAN 5 PUERTAS,,,,,,15330000,14600000,13870000,13110000,11800000,10620000,9560000,8600000,7740000,6970000,,,,,,,,,,,
I,00405285,A,,004,05,285,ALFA ROMEO,GIULIETTA DISTINCTIVE 120 CSVEDAN 5 PUERTAS,,,,,,,,,,,,8300000,7470000,6720000,6050000,,,,,,,,,,,
I,00405286,A,,004,05,286,ALFA ROMEO,GIULIETTA PROGRESSION 12S0ECDVAN 5 PUERTAS,,,,,,13140000,12410000,11680000,10950000,10220000,,,7220000,6500000,5850000,,,,,,,,,,,
I,00405292,A,,004,05,292,ALFA ROMEO,GIULIETTA PROGRESSION 17S0E CDVAN 5 PUERTAS,,,,,,,,,,,,8830000,7950000,7150000,6440000,,,,,,,,,,,
I,00405283,A,,004,05,283,ALFA ROMEO,GIULIETTA QUADRIFOGLIO SEDAN 5 PUERTAS,,,,,,17890000,17040000,15340000,13800000,12420000,11180000,10060000,9060000,8150000,7340000,,,,,,,,,,,
I,00421270,A,,004,21,270,ALFA ROMEO,GT COUPE,,,,,,,,,,,,,,,,15600000,13870000,,,,,,,,,
I,00422154,A,,004,22,154,ALFA ROMEO,GT 1.8 SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,12020000,11420000,10850000,10300000
I,00422245,A,,004,22,245,ALFA ROMEO,GT 1.9 JTD SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,13870000,13180000,12520000,11830000,11240000,10680000,,,,,
I,00401247,A,,004,01,247,ALFA ROMEO,GT 3.2 24V SEDAN 2 PUERTAS,,,,,,,,,,,,,,,,17340000,16470000,15650000,14790000,14050000,13350000,,,,,
